utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1717085137835,55422000000,18,33353073.878863223,-1401120300413000192,0.0,344.87863450455677,-1731.8516242923015,0.0,0,32,0.0,47,403555759170494,487,19.888999938964844,-269.78801835839,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.888999938964844,0.0,0.0,0.0,66.7128,C,
1717085138835,56422000000,18,32910177.480181973,-1401120300413000192,0.0,343.84342330273864,-1712.5780638038027,0.0,0,31,0.0,47,403556768485335,396,25.520000457763672,-530.7254296781753,0.14999,16,0.0,0.0,1575420030,,,,0,5.775910784939391,1,6.0,25.520000457763672,0.0,0.0,0.0,66.7128,C,
1717085138835,56422000000,18,32910177.480181973,-1401120300413000192,0.0,343.84342330273864,-1712.5780638038027,0.0,0,10,0.0,47,403556760702608,797,20.268999099731445,-20.804032320662838,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,20.268999099731445,0.0,0.0,0.0,66.7128,C,
1717085138835,56422000000,18,32910177.480181973,-1401120300413000192,0.0,343.84342330273864,-1712.5780638038027,0.0,0,26,0.0,47,403556762351085,1797,11.5,-1033.1376138483297,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,11.5,0.0,0.0,0.0,66.7128,C,
1717085138835,56422000000,18,32910177.480181973,-1401120300413000192,0.0,343.84342330273864,-1712.5780638038027,0.0,0,4,0.0,17,544782,487,20.0,-450.6777498625291,0.14999,16,0.0,0.0,1605374980,,,,0,0.0,3,6.0,20.0,0.0,0.0,40.612144008603615,66.7128,C,
1717085138835,56422000000,18,32910177.480181973,-1401120300413000192,0.0,343.84342330273864,-1712.5780638038027,0.0,0,28,0.0,47,403556765180707,797,15.82800006866455,-148.7394766906353,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,15.82800006866455,0.0,0.0,0.0,66.7128,C,
1717085138835,56422000000,18,32910177.480181973,-1401120300413000192,0.0,343.84342330273864,-1712.5780638038027,0.0,0,32,0.0,47,403556759171356,396,19.993999481201172,-263.824546365981,0.14999,16,0.0,0.0,1575420030,,,,0,0.5396697937118701,1,6.0,19.993999481201172,0.0,0.0,0.0,66.7128,C,
1717085139834,57422000000,18,32799804.456721857,-1401120300412000256,0.0,343.26061756664456,-1696.4118583759541,0.0,0,31,0.0,47,403557767487099,396,23.66200065612793,-524.3681529207576,0.14999,16,0.0,0.0,1575420030,,,,0,3.1165789925340484,1,6.0,23.66200065612793,0.0,0.0,0.0,66.7128,C,
1717085139834,57422000000,18,32799804.456721857,-1401120300412000256,0.0,343.26061756664456,-1696.4118583759541,0.0,0,10,0.0,47,403557759702687,797,15.82800006866455,-15.92524820072937,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,15.82800006866455,0.0,0.0,0.0,66.7128,C,
1717085139834,57422000000,18,32799804.456721857,-1401120300412000256,0.0,343.26061756664456,-1696.4118583759541,0.0,0,26,0.0,47,403557761354524,1797,11.5,-1027.453333708138,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,11.5,0.0,0.0,0.0,66.7128,C,
1717085139834,57422000000,18,32799804.456721857,-1401120300412000256,0.0,343.26061756664456,-1696.4118583759541,0.0,0,4,0.0,17,546290,396,22.0,-448.23860248789526,0.14999,16,0.0,0.0,1605374980,,,,0,2.9480201054263446,3,6.0,22.0,0.0,0.0,42.11855256205691,66.7128,C,
1717085139834,57422000000,18,32799804.456721857,-1401120300412000256,0.0,343.26061756664456,-1696.4118583759541,0.0,0,28,0.0,47,403557764181197,1797,15.82800006866455,-144.0566077118617,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,15.82800006866455,0.0,0.0,0.0,66.7128,C,
1717085139834,57422000000,18,32799804.456721857,-1401120300412000256,0.0,343.26061756664456,-1696.4118583759541,0.0,0,32,0.0,47,403557758172268,396,20.11199951171875,-258.51441908074077,0.14999,16,0.0,0.0,1575420030,,,,0,1.1459080790886471,1,6.0,20.11199951171875,0.0,0.0,0.0,66.7128,C,
1717085140834,58422000000,18,32705972.876742616,-1401120300412000256,0.0,342.34725579779524,-1680.6070707526849,0.0,0,31,0.0,47,403558767488845,316,24.400999069213867,-519.7355054899075,0.14999,16,0.0,0.0,1575420030,,,,0,4.18846705115859,1,6.0,24.400999069213867,0.0,0.0,0.0,66.7128,C,
1717085140834,58422000000,18,32705972.876742616,-1401120300412000256,0.0,342.34725579779524,-1680.6070707526849,0.0,0,10,0.0,47,403558759702756,487,18.020000457763672,-11.49859738735686,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,18.020000457763672,0.0,0.0,0.0,66.7128,C,
1717085140834,58422000000,18,32705972.876742616,-1401120300412000256,0.0,342.34725579779524,-1680.6070707526849,0.0,0,26,0.0,47,403558761357945,797,11.5,-1022.7954128988692,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,11.5,0.0,0.0,0.0,66.7128,C,
1717085140834,58422000000,18,32705972.876742616,-1401120300412000256,0.0,342.34725579779524,-1680.6070707526849,0.0,0,4,0.0,17,547769,396,21.0,-440.96602243907125,0.14999,16,0.0,0.0,1605374980,,,,0,0.05928957927478029,3,6.0,21.0,0.0,0.0,42.28640355904737,66.7128,C,
1717085140834,58422000000,18,32705972.876742616,-1401120300412000256,0.0,342.34725579779524,-1680.6070707526849,0.0,0,28,0.0,47,403558764181671,1797,15.82800006866455,-139.14107498470568,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,15.82800006866455,0.0,0.0,0.0,66.7128,C,
1717085140834,58422000000,18,32705972.876742616,-1401120300412000256,0.0,342.34725579779524,-1680.6070707526849,0.0,0,32,0.0,47,403558758173141,396,23.66200065612793,-254.03536317388279,0.14999,16,0.0,0.0,1575420030,,,,0,3.1165789925340484,1,6.0,23.66200065612793,0.0,0.0,0.0,66.7128,C,
1717085141832,59422000000,18,32650247.658998813,-1401120300410999808,0.0,341.60127158129256,-1667.979981487313,0.0,0,31,0.0,47,403559766490573,316,24.430999755859375,-516.3187677281197,0.14999,16,0.0,0.0,1575420030,,,,0,5.059963311123051,1,6.0,24.430999755859375,0.0,0.0,0.0,66.7128,C,
1717085141832,59422000000,18,32650247.658998813,-1401120300410999808,0.0,341.60127158129256,-1667.979981487313,0.0,0,10,0.0,47,403559758702774,487,19.05699920654297,-7.5072619338770945,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.05699920654297,0.0,0.0,0.0,66.7128,C,
1717085141832,59422000000,18,32650247.658998813,-1401120300410999808,0.0,341.60127158129256,-1667.979981487313,0.0,0,4,0.0,17,549233,396,21.0,-437.7532322270513,0.14999,16,0.0,0.0,1605374980,,,,0,3.1158686065323375,3,6.0,21.0,0.0,0.0,42.28640355904737,66.7128,C,
